model,model_cn,param,param_cn,b,se,t,p
M1,M1：TWFE,npr,盈利能力（NPR）,-.6357382832620841,.053261653,-11.936135,7.6705437e-33
M1,M1：TWFE,size,规模（Size）,.0772121649565581,.0054231896,14.237409,0
M1,M1：TWFE,tang,资产有形性（Tang）,.0796684202255822,.027495727,2.8974838,.003761692
M1,M1：TWFE,growth,成长性（Growth）,.0118161410980783,.0089004776,1.3275851,.18431522
M1,M1：TWFE,ndts,非债务税盾（NDTS）,.3849903304521324,.21575022,1.7844262,.07435444
M1p,M1'：IFE,npr,盈利能力（NPR）,-.4064237684408346,.019898424,-20.424923,0
M1p,M1'：IFE,m2_growth,M2 增速,0,0,,
M1p,M1'：IFE,size,规模（Size）,.086549138082885,.0093000857,9.3062725,1.3239691e-20
M1p,M1'：IFE,tang,资产有形性（Tang）,.0895762083806203,.021768248,4.114994,.00003871895
M1p,M1'：IFE,growth,成长性（Growth）,.0052821604894937,.0028377478,1.8613918,.062688872
M1p,M1'：IFE,ndts,非债务税盾（NDTS）,-.0387973305802181,.21439403,-.18096274,.85639679
