year,b,se,ll,ul,p
2011,-.6517500420689583,.063828729,-.77685207,-.52664804,1.7717723e-24
2012,-.6712400177825495,.074392051,-.81704575,-.52543426,1.8299528e-19
2013,-.6673778177888319,.062704533,-.79027647,-.54447919,1.8754519e-26
2014,-.742492638124251,.058020033,-.85620981,-.62877548,1.7002034e-37
2015,-.5743211273793378,.053580925,-.6793378,-.46930444,8.3108977e-27
2016,-.6088011920184926,.074620575,-.75505483,-.46254754,3.3886366e-16
2017,-.6732533880922625,.083013013,-.83595592,-.51055086,5.0530227e-16
2018,-.4857627319868699,.055311996,-.59417224,-.37735322,1.6026365e-18
2019,-.520136883576175,.053057715,-.6241281,-.41614568,1.0904379e-22
2020,-.6183747649881516,.056522723,-.72915727,-.50759226,7.3966365e-28
2021,-.7879422246620083,.050319761,-.88656718,-.68931729,0
2022,-.8636927165689867,.03580755,-.93387425,-.79351121,0
