gamma,ssr,lr,ssr_min
20.67318344116211,129.68497,30.900381,129.43228
20.7165217590332,129.67805,30.055099,129.43228
20.7598600769043,129.6758,29.778936,129.43228
20.80319839477539,129.7549,39.452099,129.43228
20.84653671264648,129.75543,39.517406,129.43228
20.88987503051758,129.72121,35.332047,129.43228
20.93321334838867,129.78215,42.784714,129.43228
20.97655166625977,129.76016,40.095856,129.43228
21.01988998413086,129.77255,41.611019,129.43228
21.06322830200195,129.74294,37.989182,129.43228
21.10656661987305,129.73137,36.57478,129.43228
21.14990493774414,129.66415,28.355206,129.43228
21.19324325561523,129.65503,27.239357,129.43228
21.23658157348633,129.64575,26.104851,129.43228
21.27991989135742,129.66597,28.577255,129.43228
21.32325820922852,129.60025,20.540543,129.43228
21.36659652709961,129.63049,24.238886,129.43228
21.4099348449707,129.62326,23.354418,129.43228
21.4532731628418,129.58304,18.435734,129.43228
21.49661148071289,129.57726,17.728535,129.43228
21.53994979858398,129.5907,19.37245,129.43228
21.58328811645508,129.52907,11.835816,129.43228
21.62662643432617,129.48225,6.1110353,129.43228
21.66996475219727,129.45605,2.9071736,129.43228
21.71330307006836,129.43228,0,129.43228
21.75664138793945,129.46878,4.4633884,129.43228
21.79997970581055,129.47742,5.5195246,129.43228
21.84331802368164,129.50891,9.3708763,129.43228
21.88665634155273,129.50223,8.5535841,129.43228
21.92999465942383,129.5155,10.176973,129.43228
21.97333297729492,129.54066,13.25395,129.43228
22.01667129516601,129.55974,15.586406,129.43228
22.06000961303711,129.59053,19.351923,129.43228
22.1033479309082,129.63548,24.849056,129.43228
22.1466862487793,129.61565,22.423302,129.43228
22.19002456665039,129.63272,24.511316,129.43228
22.23336288452148,129.65314,27.007978,129.43228
22.27670120239258,129.73059,36.479618,129.43228
22.32003952026367,129.75951,40.015621,129.43228
22.36337783813476,129.74614,38.381035,129.43228
22.40671615600586,129.76314,40.459721,129.43228
22.45005447387695,129.76527,40.720955,129.43228
22.49339279174805,129.75703,39.713333,129.43228
22.53673110961914,129.7681,41.066158,129.43228
22.58006942749023,129.79446,44.290546,129.43228
22.62340774536133,129.80609,45.71241,129.43228
22.66674606323242,129.78528,43.167236,129.43228
22.71008438110351,129.78647,43.312782,129.43228
22.75342269897461,129.80409,45.467972,129.43228
22.7967610168457,129.81676,47.01672,129.43228
22.8400993347168,129.82112,47.550388,129.43228
22.88343765258789,129.82819,48.41433,129.43228
22.92677597045898,129.82697,48.265053,129.43228
22.97011428833008,129.83246,48.936798,129.43228
23.01345260620117,129.83701,49.492855,129.43228
23.05679092407226,129.84419,50.371727,129.43228
23.10012924194336,129.84459,50.420242,129.43228
23.14346755981445,129.84529,50.506077,129.43228
23.18680587768554,129.84489,50.457561,129.43228
23.23014419555664,129.84512,50.48555,129.43228
23.27348251342773,129.84232,50.142212,129.43228
23.31682083129883,129.8414,50.030254,129.43228
23.36015914916992,129.84427,50.381058,129.43228
23.40349746704101,129.84479,50.4445,129.43228
23.44683578491211,129.84445,50.403446,129.43228
23.4901741027832,129.84198,50.101162,129.43228
23.53351242065429,129.84125,50.011597,129.43228
23.57685073852539,129.84348,50.284027,129.43228
23.62018905639648,129.84538,50.517273,129.43228
23.66352737426757,129.84505,50.476219,129.43228
23.70686569213867,129.84512,50.48555,129.43228
23.75020401000976,129.84506,50.478085,129.43228
23.79354232788086,129.84492,50.461292,129.43228
23.83688064575195,129.84085,49.963081,129.43228
23.88021896362304,129.84366,50.306419,129.43228
23.92355728149414,129.8445,50.409046,129.43228
23.96689559936523,129.84488,50.455696,129.43228
24.01023391723633,129.84537,50.515408,129.43228
24.05357223510742,129.84532,50.509808,129.43228
24.09691055297851,129.8454,50.519138,129.43228
24.14024887084961,129.84489,50.457561,129.43228
24.1835871887207,129.84526,50.502342,129.43228
24.22692550659179,129.8454,50.519138,129.43228
24.27026382446289,129.84409,50.358665,129.43228
24.31360214233398,129.84477,50.442635,129.43228
24.35694046020507,129.84303,50.229912,129.43228
24.40027877807617,129.84454,50.414642,129.43228
24.44361709594726,129.84535,50.513538,129.43228
24.48695541381836,129.84444,50.401581,129.43228
24.53029373168945,129.84331,50.2635,129.43228
24.57363204956054,129.83804,49.619743,129.43228
24.61697036743164,129.82501,48.026207,129.43228
24.66030868530273,129.82863,48.468441,129.43228
24.70364700317382,129.82642,48.197876,129.43228
24.74698532104492,129.8295,48.574802,129.43228
24.79032363891601,129.82584,48.126972,129.43228
24.8336619567871,129.82059,47.485077,129.43228
24.8770002746582,129.82503,48.028076,129.43228
24.92033859252929,129.82394,47.895592,129.43228
24.96367691040039,129.82132,47.574646,129.43228
25.00701522827148,129.82233,47.6978,129.43228
